name,data_per_month,call_minutes,text_messages,price_initial,mobile_carrier_id,carrier_url
슈퍼스마트톡 1GB+,0,300,300,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=560&telecom=LGU+
슈퍼스마트톡 2GB+,0,300,300,8800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=561&telecom=LGU+
슈퍼스마트톡 3GB+,0,300,300,11000,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=562&telecom=LGU+
USIM 심플 (100분+2.2GB),0,100,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=564&telecom=LGU+
USIM 심플 (100분+3GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=565&telecom=LGU+
USIM 심플 (500분+2GB),0,500,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=568&telecom=LGU+
USIM 심플 (100분+6GB),0,100,100,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=570&telecom=LGU+
슈퍼스마트톡,0,300,300,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=559&telecom=LGU+
후후 심플 (100분+2.2GB),0,100,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=572&telecom=LGU+
후후 심플 (100분+3GB),0,100,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=573&telecom=LGU+
후후 심플 (200분+1.5GB),0,200,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=574&telecom=LGU+
USIM 심플 (200분+1.5GB),0,200,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=566&telecom=LGU+
USIM 심플 (500분+1GB),0,500,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=567&telecom=LGU+
후후 심플 (500분+1GB),0,500,100,4400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=575&telecom=LGU+
후후 심플 (500분+2GB),0,500,100,5500,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=576&telecom=LGU+
후후 심플 (200분+5GB),0,200,100,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=577&telecom=LGU+
후후 심플 (100분+6GB),0,100,100,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=578&telecom=LGU+
USIM 심플 (200분+5GB),0,200,100,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=569&telecom=LGU+
후후 심플 (50분+1.8GB),0,50,50,2200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=571&telecom=LGU+
스마트 데이터전용 10GB,0,0,0,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=341&telecom=LGU+
스마트 데이터전용 20GB,0,0,0,8800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=342&telecom=LGU+
USIM 스마트 4.5GB+,0,-1,-1,6600,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=629&telecom=LGU+
USIM 스마트 (100분/10GB+),0,100,100,9900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=630&telecom=LGU+
탄소중립실천 7GB+,0,-1,-1,7700,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=654&telecom=LGU+
탄소중립실천 11GB+,0,-1,-1,23100,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=655&telecom=LGU+
USIM 스마트 15GB+,0,100,100,14300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=263&telecom=LGU+
선샤인2 15GB+,0,300,300,18700,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=530&telecom=LGU+
USIM 데이터충분히 (매일5GB+),0,-1,-1,29900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=439&telecom=LGU+
USIM 스마트 11GB+,0,-1,-1,20900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=516&telecom=LGU+
5G 스마트 12GB,0,-1,-1,19800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=431&telecom=LGU+
5G 스마트플러스 (100분+3GB),0,100,100,2400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=472&telecom=LGU+
5G 스마트플러스 (100분+3GB)(데이터 차단형),0,100,100,2400,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=473&telecom=LGU+
5G 스마트플러스 (200분+3GB),0,200,100,3300,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=474&telecom=LGU+
5G 스마트플러스 (200분+5GB),0,200,100,4200,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=475&telecom=LGU+
5G 스마트플러스 (300분+5GB),0,300,100,5100,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=476&telecom=LGU+
5G 스마트 150GB,0,-1,-1,34700,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=432&telecom=LGU+
USIM 스위트 1GB+(6GB 추가제공),0,-1,-1,18150,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=606&telecom=KT
USIM 스위트 7GB+(지니뮤직),0,-1,-1,20900,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=618&telecom=KT
USIM 스위트 심플(100분+1.5GB),0,100,100,3800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=605&telecom=KT
USIM 스위트 심플(200분+1GB),0,200,100,3800,4,https://www.smartelmall.com/sub/charge/recom_view_new.asp?charge_idx=621&telecom=KT
